sub-03_run-01,id-01
sub-33_run-03,id-02
sub-28_run-02,id-03
sub-32_run-01,id-04
sub-30_run-03,id-05
sub-07_run-01,id-06
sub-11_run-03,id-07
sub-29_run-01,id-08
sub-25_run-02,id-09
sub-28_run-01,id-10
sub-13_run-03,id-11
sub-24_run-01,id-12
sub-14_run-01,id-13
sub-01_run-03,id-14
sub-05_run-03,id-15
sub-11_run-02,id-16
sub-19_run-03,id-17
sub-27_run-01,id-18
sub-08_run-01,id-19
sub-12_run-01,id-20
sub-21_run-02,id-21
sub-31_run-03,id-22
sub-18_run-01,id-23
sub-32_run-02,id-24
sub-07_run-02,id-25
sub-01_run-02,id-26
sub-03_run-02,id-27
sub-18_run-03,id-28
sub-31_run-01,id-29
sub-29_run-03,id-30
sub-15_run-01,id-31
sub-05_run-01,id-32
sub-22_run-01,id-33
sub-06_run-02,id-34
sub-25_run-03,id-35
sub-30_run-01,id-36
sub-28_run-03,id-37
sub-21_run-01,id-38
sub-08_run-03,id-39
sub-08_run-02,id-40
sub-33_run-01,id-41
sub-15_run-03,id-42
sub-24_run-02,id-43
sub-02_run-02,id-44
sub-03_run-03,id-45
sub-14_run-03,id-46
sub-27_run-03,id-47
sub-05_run-02,id-48
sub-01_run-01,id-49
sub-23_run-03,id-50
sub-07_run-03,id-51
sub-31_run-02,id-52
sub-02_run-01,id-53
sub-13_run-02,id-54
sub-02_run-03,id-55
sub-25_run-01,id-56
sub-19_run-01,id-57
sub-18_run-02,id-58
sub-12_run-02,id-59
sub-13_run-01,id-60
sub-22_run-03,id-61
sub-24_run-03,id-62
sub-33_run-02,id-63
sub-20_run-01,id-64
sub-12_run-03,id-65
sub-20_run-03,id-66
sub-06_run-01,id-67
sub-29_run-02,id-68
sub-14_run-02,id-69
sub-23_run-01,id-70
sub-27_run-02,id-71
sub-23_run-02,id-72
sub-15_run-02,id-73
sub-32_run-03,id-74
sub-21_run-03,id-75
sub-06_run-03,id-76
sub-11_run-01,id-77
sub-30_run-02,id-78
sub-20_run-02,id-79
sub-26_run-02,id-80
sub-19_run-02,id-81
sub-26_run-01,id-82
sub-26_run-03,id-83
sub-22_run-02,id-84
